code,country_region,hari,date,retail,grocery,parks,transit,work,home,kasus,keterangan
NZ,New Zealand,Sabtu,5/30/2020,-12,-4,-26,-31,-5,5,1504,
NZ,New Zealand,Minggu,5/31/2020,-15,-13,-31,-41,-11,5,1504,
NZ,New Zealand,Senin,6/1/2020,-18,-9,-34,-56,-72,17,1504,
NZ,New Zealand,Selasa,6/2/2020,-29,-11,-36,-41,-8,8,1504,
NZ,New Zealand,Rabu,6/3/2020,-27,-12,-40,-39,-6,9,1504,
NZ,New Zealand,Kamis,6/4/2020,-27,-10,-51,-41,-2,9,1504,
NZ,New Zealand,Jumat,6/5/2020,-16,-9,-51,-43,-2,9,1504,
NZ,New Zealand,Sabtu,6/6/2020,-8,-8,-41,-41,-2,7,1504,
NZ,New Zealand,Minggu,6/7/2020,-12,-10,-38,-46,-8,7,1504,
NZ,New Zealand,Senin,6/8/2020,-21,-14,-40,-41,9,6,1504,Lockdown diturunkan menjadi tingkat 1
NZ,New Zealand,Selasa,6/9/2020,-19,-11,-35,-41,-3,7,1504,
NZ,New Zealand,Rabu,6/10/2020,-17,-12,-35,-38,-3,7,1504,
NZ,New Zealand,Kamis,6/11/2020,-14,-10,-40,-38,1,7,1504,
NZ,New Zealand,Jumat,6/12/2020,-9,-7,-45,-36,0,7,1504,
NZ,New Zealand,Sabtu,6/13/2020,-1,-4,-30,-33,1,5,1504,
NZ,New Zealand,Minggu,6/14/2020,-6,-8,-33,-33,-4,5,1504,
NZ,New Zealand,Senin,6/15/2020,-18,-12,-39,-34,11,4,1504,
NZ,New Zealand,Selasa,6/16/2020,-17,-10,-35,-36,-2,6,1506,
NZ,New Zealand,Rabu,6/17/2020,-15,-10,-36,-33,-2,6,1506,
NZ,New Zealand,Kamis,6/18/2020,-18,-14,-56,-38,-1,8,1507,
NZ,New Zealand,Jumat,6/19/2020,-8,-7,-46,-34,-1,7,1507,
NZ,New Zealand,Sabtu,6/20/2020,1,-5,-30,-35,-1,5,1509,
NZ,New Zealand,Minggu,6/21/2020,-8,-8,-49,-42,-6,6,1511,
NZ,New Zealand,Senin,6/22/2020,-16,-12,-36,-32,9,4,1513,
NZ,New Zealand,Selasa,6/23/2020,-15,-8,-33,-34,-4,6,1515,
NZ,New Zealand,Rabu,6/24/2020,-14,-10,-42,-32,-3,6,1516,
NZ,New Zealand,Kamis,6/25/2020,-13,-7,-48,-36,0,7,1519,
NZ,New Zealand,Jumat,6/26/2020,-7,-7,-47,-33,-1,7,1520,
NZ,New Zealand,Sabtu,6/27/2020,-2,-6,-40,-34,-4,6,1522,
NZ,New Zealand,Minggu,6/28/2020,-6,-8,-47,-43,-7,6,1526,
NZ,New Zealand,Senin,6/29/2020,-17,-13,-50,-33,11,5,1528,
NZ,New Zealand,Selasa,6/30/2020,-13,-10,-41,-33,-1,6,1528,
NZ,New Zealand,Rabu,7/1/2020,-13,-11,-43,-33,-2,6,1528,
NZ,New Zealand,Kamis,7/2/2020,-11,-9,-44,-32,1,6,1530,
NZ,New Zealand,Jumat,7/3/2020,-4,-6,-37,-29,0,6,1530,
NZ,New Zealand,Sabtu,7/4/2020,1,-5,-25,-27,-4,4,1530,
NZ,New Zealand,Minggu,7/5/2020,-4,-8,-43,-38,-10,5,1533,
NZ,New Zealand,Senin,7/6/2020,-9,-10,-43,-33,-4,6,1534,
NZ,New Zealand,Selasa,7/7/2020,-7,-5,-35,-33,-15,7,1536,
NZ,New Zealand,Rabu,7/8/2020,-9,-10,-45,-36,-15,8,1537,
NZ,New Zealand,Kamis,7/9/2020,-4,-6,-35,-31,-12,7,1540,
NZ,New Zealand,Jumat,7/10/2020,-1,-4,-27,-30,-14,7,1542,
NZ,New Zealand,Sabtu,7/11/2020,2,-4,-22,-29,-5,4,1543,
NZ,New Zealand,Minggu,7/12/2020,-2,-7,-34,-32,-10,4,1544,
NZ,New Zealand,Senin,7/13/2020,-5,-6,-29,-29,-5,5,1544,
NZ,New Zealand,Selasa,7/14/2020,-7,-8,-25,-31,-15,6,1545,
NZ,New Zealand,Rabu,7/15/2020,-6,-9,-42,-31,-14,7,1547,
NZ,New Zealand,Kamis,7/16/2020,-5,-7,-44,-32,-12,7,1548,
NZ,New Zealand,Jumat,7/17/2020,0,-4,-38,-31,-13,7,1549,
NZ,New Zealand,Sabtu,7/18/2020,3,-4,-29,-26,-5,4,1550,
NZ,New Zealand,Minggu,7/19/2020,-1,-3,-33,-32,-8,4,1553,
NZ,New Zealand,Senin,7/20/2020,-12,-10,-40,-26,12,3,1554,
NZ,New Zealand,Selasa,7/21/2020,-13,-8,-40,-29,-1,5,1555,
NZ,New Zealand,Rabu,7/22/2020,-11,-9,-44,-28,0,5,1555,
NZ,New Zealand,Kamis,7/23/2020,-8,-7,-42,-26,4,4,1555,
NZ,New Zealand,Jumat,7/24/2020,-3,-5,-39,-26,3,4,1556,
NZ,New Zealand,Sabtu,7/25/2020,6,-1,-13,-26,-3,3,1556,
NZ,New Zealand,Minggu,7/26/2020,0,-4,-28,-30,-8,3,1556,
NZ,New Zealand,Senin,7/27/2020,-12,-9,-32,-22,13,2,1556,
NZ,New Zealand,Selasa,7/28/2020,-12,-7,-32,-26,1,4,1557,
NZ,New Zealand,Rabu,7/29/2020,-9,-6,-34,-24,1,4,1559,
NZ,New Zealand,Kamis,7/30/2020,-5,-6,-19,-22,4,3,1560,
NZ,New Zealand,Jumat,7/31/2020,0,-4,-25,-24,2,4,1560,
NZ,New Zealand,Sabtu,8/1/2020,7,-1,1,-25,-5,4,1562,
NZ,New Zealand,Minggu,8/2/2020,-1,-5,-25,-34,-9,4,1565,
NZ,New Zealand,Senin,8/3/2020,-10,-10,-17,-22,14,2,1567,
NZ,New Zealand,Selasa,8/4/2020,-7,-6,-4,-23,0,3,1567,
NZ,New Zealand,Rabu,8/5/2020,-5,-6,-8,-21,1,3,1569,
NZ,New Zealand,Kamis,8/6/2020,-5,-7,-20,-21,4,3,1569,
NZ,New Zealand,Jumat,8/7/2020,-2,-5,-26,-22,2,4,1569,
NZ,New Zealand,Sabtu,8/8/2020,7,-1,3,-21,-5,3,1569,
NZ,New Zealand,Minggu,8/9/2020,0,-5,-16,-30,-10,3,1569,100 hari tanpa kasus baru dari community transmission
NZ,New Zealand,Senin,8/10/2020,-9,-10,-15,-20,13,2,1569,
NZ,New Zealand,Selasa,8/11/2020,-11,-9,-23,-25,-1,4,1570,Lockdown dinaikkan menjadi tingkat 3 setelah ada 3 kasus baru
NZ,New Zealand,Rabu,8/12/2020,-18,5,-30,-43,-15,10,1575,
NZ,New Zealand,Kamis,8/13/2020,-30,-11,-29,-51,-20,13,1589,
NZ,New Zealand,Jumat,8/14/2020,-25,-7,-38,-53,-20,14,1602,
NZ,New Zealand,Sabtu,8/15/2020,-26,-14,-14,-48,-17,11,1609,
NZ,New Zealand,Minggu,8/16/2020,-30,-21,-18,-54,-23,10,1622,
NZ,New Zealand,Senin,8/17/2020,-31,-19,-25,-49,-11,10,1631,
NZ,New Zealand,Selasa,8/18/2020,-29,-14,-28,-52,-20,12,1643,
NZ,New Zealand,Rabu,8/19/2020,-30,-15,-40,-54,-20,14,1649,
NZ,New Zealand,Kamis,8/20/2020,-28,-13,-31,-51,-17,12,1654,
NZ,New Zealand,Jumat,8/21/2020,-24,-11,-35,-52,-18,14,1665,
NZ,New Zealand,Sabtu,8/22/2020,-20,-10,-4,-47,-15,9,1671,
NZ,New Zealand,Minggu,8/23/2020,-27,-16,-31,-57,-22,10,1674,
NZ,New Zealand,Senin,8/24/2020,-29,-16,-30,-50,-8,10,1683,
NZ,New Zealand,Selasa,8/25/2020,-27,-12,-28,-52,-18,12,1690,
NZ,New Zealand,Rabu,8/26/2020,-24,-10,-18,-48,-17,11,1695,
NZ,New Zealand,Kamis,8/27/2020,-25,-11,-29,-50,-14,12,1702,
NZ,New Zealand,Jumat,8/28/2020,-19,-6,-16,-47,-15,11,1714,
NZ,New Zealand,Sabtu,8/29/2020,-18,-7,5,-47,-14,8,1727,
NZ,New Zealand,Minggu,8/30/2020,-24,-11,-4,-51,-19,8,1729,"Lockdown diturunkan menjadi tingkat ""2,5"""
NZ,New Zealand,Senin,8/31/2020,-8,-7,-10,-33,6,4,1738,
NZ,New Zealand,Selasa,9/1/2020,-10,-6,-13,-36,-7,7,1752,
NZ,New Zealand,Rabu,9/2/2020,-8,-6,-10,-35,-6,6,1757,
NZ,New Zealand,Kamis,9/3/2020,-6,-6,-4,-32,-3,5,1759,
NZ,New Zealand,Jumat,9/4/2020,-1,-3,-4,-32,-5,5,1764,
NZ,New Zealand,Sabtu,9/5/2020,3,3,3,-36,-9,4,1767,
NZ,New Zealand,Minggu,9/6/2020,-1,-5,-21,-43,-15,4,1772,
NZ,New Zealand,Senin,9/7/2020,-10,-8,-7,-31,6,4,1776,
NZ,New Zealand,Selasa,9/8/2020,-7,-5,13,-31,-6,5,1782,
